Filter,Channel,SNR (dB),RMSE (μV),NRMSE (%),Correlation,PRD (%)
DB4 LVL:2 THR:0.5 hard,FP1-F7,5.34872957350673,3.118667885259113e-05,1.1310431708012052,0.9045104206977973,43.6955979267676
DB4 LVL:2 THR:0.5 hard,F7-T7,4.820235427886665,2.4746643670361335e-05,1.9379322073635425,0.8865477630926245,46.800605166098194
DB4 LVL:2 THR:0.5 hard,T7-P7,4.235264901394769,2.9206561609325703e-05,2.2840160918956895,0.8744483201618282,49.08361207825269
DB4 LVL:2 THR:0.5 hard,P7-O1,5.082146170261447,2.5165013474835126e-05,1.9513872099963772,0.8933265822400226,45.5594458555786
DB4 LVL:2 THR:0.5 hard,FP1-F3,5.962462447996479,2.945009119572162e-05,1.1795644584679836,0.9110449576074011,41.94745064213763
DB4 LVL:2 THR:0.5 hard,F3-C3,8.63972985112855,1.6771927150357965e-05,1.5838268794133366,0.9454658728303941,32.984810334548534
DB4 LVL:2 THR:0.5 soft,FP1-F7,5.3424917033995545,3.1207580425184506e-05,1.131801205379125,0.9043568944022867,43.72488308138103
DB4 LVL:2 THR:0.5 soft,F7-T7,4.786048981397208,2.4836396818611086e-05,1.9449608581584696,0.8855947629758971,46.970345422983286
DB4 LVL:2 THR:0.5 soft,T7-P7,4.2128001335017355,2.927495703561812e-05,2.289364761703301,0.8737605735872014,49.19855524126411
DB4 LVL:2 THR:0.5 soft,P7-O1,5.077622639697015,2.5176964384936204e-05,1.9523139272875234,0.8932096170659565,45.58108211825016
DB4 LVL:2 THR:0.5 soft,FP1-F3,5.956811670742473,2.9468040029080426e-05,1.1802833630635692,0.9109195439707004,41.97301619289938
DB4 LVL:2 THR:0.5 soft,F3-C3,8.633335783167881,1.678385150268254e-05,1.5849529342525894,0.945380715133283,33.008261575199796
DB4 LVL:2 THR:1.0 hard,FP1-F7,5.346192517211072,3.119526687398711e-05,1.1313546314410678,0.9044470647256572,43.70763058762511
DB4 LVL:2 THR:1.0 hard,F7-T7,4.805717991810949,2.478506673547008e-05,1.9409411525914986,0.8861392182268228,46.87327048279241
DB4 LVL:2 THR:1.0 hard,T7-P7,4.226399918046596,2.9233738100509592e-05,2.286141352103157,0.8741747078989159,49.12928401898851
DB4 LVL:2 THR:1.0 hard,P7-O1,5.079332851736598,2.517250657912335e-05,1.951968252716097,0.8932530546352158,45.57301158163914
DB4 LVL:2 THR:1.0 hard,FP1-F3,5.9599712775631275,2.945809565914923e-05,1.1798850612296379,0.9109887791192646,41.9588518575809
DB4 LVL:2 THR:1.0 hard,F3-C3,8.635634750281682,1.6779569959915883e-05,1.5845486144354093,0.9454112776369309,32.99984120258362
